,query,value
0,el coronavirus,1452250
1,coronavirus en argentina,376650
2,mapa coronavirus,297950
3,sintomas del coronavirus,261350
4,corona,219200
5,brasil coronavirus,183150
6,coronavirus italia,182100
7,muertos coronavirus,180550
8,coronavirus 2020,174400
9,coronavirus muertos,171700
10,coronavirus hoy,167850
11,sintomas de coronavirus,167850
12,noticias coronavirus,147750
13,cura coronavirus,143300
14,corona virus,130850
15,coronavirus paises,122000
16,origen coronavirus,105000
17,casos de coronavirus,93900
18,coronavirus en italia,88000
19,coronavirus infobae,84300
20,animal coronavirus,82100
21,hospital coronavirus,81900
22,mapa de coronavirus,80000
23,síntomas coronavirus,79600
24,coronavirus síntomas,79150
