,query,value
0,el coronavirus,100
1,coronavirus argentina,84
2,sintomas coronavirus,64
3,que es coronavirus,52
4,china coronavirus,27
5,coronavirus en argentina,26
6,china,26
7,que es el coronavirus,25
8,mapa coronavirus,21
9,sintomas del coronavirus,18
10,virus coronavirus,18
11,virus,18
12,corona,15
13,brasil coronavirus,13
14,coronavirus italia,13
15,muertos coronavirus,12
16,coronavirus en china,12
17,coronavirus 2020,12
18,coronavirus muertos,12
19,coronavirus hoy,12
20,sintomas de coronavirus,12
21,noticias coronavirus,10
22,cura coronavirus,10
23,corona virus,9
24,coronavirus paises,8
